date,value
2018-02-28,10717.812519
2018-03-03,10787.409425
2018-03-06,10923.750983
2018-03-09,11006.49188
2018-03-12,11079.07405
2018-03-15,11295.903012
2018-03-18,11379.084625
2018-03-21,11443.934365
2018-03-24,11514.729606
2018-03-28,11832.203127
2018-03-31,11925.892747
2018-04-03,11993.674205
2018-04-06,12069.76464
2018-04-09,12486.508854
2018-04-12,12575.431461
2018-04-15,12704.955304
2018-04-18,12810.142063
2018-04-21,13278.692917
2018-04-24,13364.711639
2018-04-27,13666.982276
2018-04-30,13931.150725
2018-05-03,14017.482583
2018-05-06,14093.986991
2018-05-09,14184.012024
2018-05-12,14283.567035
2018-05-15,14370.037072
2018-05-18,14625.772216
2018-05-21,14815.098706
2018-05-24,14910.122904
2018-05-27,15000.480447
2018-05-30,15100.476354
2018-06-02,15425.853825
2018-06-05,15642.617502
2018-06-08,15754.460707
2018-06-11,15879.109533
2018-06-14,16376.081752
2018-06-17,17053.996888
2018-06-20,17154.792893
2018-06-23,17268.803902
2018-06-26,17375.92315
2018-06-29,17700.145907
2018-07-02,17824.879464
2018-07-05,17918.921272
2018-07-08,18457.413329
2018-07-11,18577.356829
2018-07-14,18910.240117
2018-07-17,19026.582427
2018-07-20,19151.591823
2018-07-23,19597.728314
2018-07-26,19704.017462
2018-07-29,20030.070808
2018-08-01,20144.120238
2018-08-04,20240.84972
2018-08-07,20456.672486
2018-08-10,20906.272587
2018-08-13,21007.206882
2018-08-16,21121.696352
2018-08-19,21559.25532
2018-08-22,21675.317481
2018-08-25,21904.396703
2018-08-28,22407.702087
2018-08-31,22531.406696
2018-09-03,22637.59141
2018-09-06,22762.514921
2018-09-09,22986.777418
2018-09-12,23359.672824
2018-09-15,23856.767787
2018-09-18,23992.087873
2018-09-21,24118.477865
2018-09-24,24251.253796
2018-09-27,24382.001027
2018-09-30,24516.742609
2018-10-03,25030.695047
2018-10-06,25171.117904
2018-10-09,25445.827354
2018-10-12,25582.58125
2018-10-15,25732.490102
2018-10-18,26321.779863
2018-10-21,26472.815494
2018-10-24,26609.781699
2018-10-27,26757.719553
2018-10-29,26902.33205
2018-11-01,27832.722445
2018-11-04,28001.507359
2018-11-07,28157.479617
2018-11-10,28297.401678
2018-11-13,28687.953126
2018-11-16,28842.17123
2018-11-19,29169.409374
2018-11-22,29354.649272
2018-11-25,29512.95796
2018-11-28,30137.155695
2018-12-01,30284.202085
2018-12-04,30433.129572
2018-12-07,30577.947387
2018-12-10,31309.121294
2018-12-13,31477.374339
2018-12-16,31645.126815
2018-12-19,31819.946308
2018-12-22,32699.904035
2018-12-25,33354.273088
2018-12-28,33709.807458
2018-12-31,33876.533062
2019-01-03,34053.194764
2019-01-06,34720.402806
2019-01-09,35249.213773
2019-01-12,35576.321054
2019-01-15,35745.407419
2019-01-18,35922.098459
2019-01-21,36412.09292
2019-01-24,36946.997649
2019-01-27,37143.55952
2019-01-30,37492.364143
2019-02-02,37888.712657
2019-02-05,38321.184304
2019-02-08,39155.424689
2019-02-11,39346.090103
2019-02-14,39660.114973
2019-02-17,40577.602977
2019-02-20,41834.026587
2019-02-23,42078.383585
2019-02-26,42548.93208
2019-03-01,42744.827898
2019-03-04,43480.368992
2019-03-07,43666.017407
2019-03-10,43849.641216
2019-03-13,45485.813166
2019-03-16,45685.258301
2019-03-19,45901.80822
2019-03-22,46102.42831
2019-03-25,46332.74864
2019-03-28,46530.946987
2019-04-01,47496.01386
2019-04-04,47991.305625
2019-04-07,48231.969613
2019-04-10,48471.956997
2019-04-13,48732.375535
2019-04-16,49847.447987
2019-04-19,50087.782458
2019-04-22,50839.604733
2019-04-25,51098.697787
2019-04-28,52231.962278
2019-05-01,52565.355964
2019-05-04,52897.051515
2019-05-07,53226.302111
2019-05-10,54434.5942
2019-05-13,55234.275192
2019-05-16,55523.12912
2019-05-19,55838.175627
2019-05-22,56135.490938
2019-05-25,56467.222964
2019-05-28,56830.100821
2019-05-31,58213.257987
2019-06-03,58565.932531
2019-06-06,58933.00014
2019-06-09,59281.804278
2019-06-12,59600.057012
2019-06-15,60937.695872
2019-06-18,61290.834574
2019-06-21,61678.351585
2019-06-24,61982.693449
2019-06-27,62317.398261
2019-06-30,63195.133252
2019-07-03,63502.128756
2019-07-06,63792.629327
2019-07-09,64091.543185
2019-07-12,64769.769773
2019-07-15,65106.230052
