date,value
2012-11-11,3841.104967
2012-11-14,3877.902294
2012-11-17,3929.020565
2012-11-20,3977.568954
2012-11-23,4026.487995
2012-11-26,4074.432212
2012-11-29,4122.107267
2012-12-02,4160.623715
2012-12-05,4202.940196
2012-12-08,4249.838377
2012-12-11,4298.669577
2012-12-14,4353.246215
2012-12-17,4401.48491
2012-12-20,4459.982994
2012-12-23,4517.107291
2012-12-26,4565.445924
2012-12-29,4625.560125
2013-01-01,4672.938457
2013-01-04,4729.780339
2013-01-07,4778.543272
2013-01-10,4842.024982
2013-01-13,4905.455938
2013-01-16,4968.268373
2013-01-19,5037.534914
2013-01-22,5094.950827
2013-01-25,5163.071246
2013-01-28,5236.06183
2013-01-31,5304.469043
2013-02-03,5382.640343
2013-02-06,5450.58542
2013-02-09,5530.858119
2013-02-12,5608.64024
2013-02-15,5685.451972
2013-02-18,5756.208372
2013-02-21,5835.614128
2013-02-24,5915.65164
2013-02-27,6003.373978
2013-03-02,6088.595752
2013-03-05,6170.438173
2013-03-08,6258.619931
2013-03-11,6347.172545
2013-03-14,6425.71497
2013-03-17,6489.991645
2013-03-20,6554.96703
2013-03-23,6639.731624
2013-03-26,6713.144718
2013-03-29,6800.867029
2013-04-02,6886.151212
2013-04-05,6984.30527
2013-04-08,7073.93785
2013-04-11,7168.119529
2013-04-14,7255.226278
2013-04-17,7340.517091
2013-04-20,7418.88164
2013-04-23,7487.41892
2013-04-26,7580.576935
2013-04-29,7651.026033
2013-05-02,7729.394126
2013-05-05,7806.062681
2013-05-08,7887.036854
2013-05-11,7976.507804
2013-05-14,8071.252795
2013-05-17,8162.904911
2013-05-20,8237.952109
2013-05-23,8312.378988
2013-05-26,8392.075268
2013-05-29,8466.732238
2013-06-01,8547.312583
2013-06-04,8625.08015
2013-06-07,8705.936071
2013-06-10,8774.427727
2013-06-13,8838.779159
2013-06-16,8899.0299
2013-06-19,8960.474068
2013-06-22,9028.976401
2013-06-25,9087.46498
2013-06-28,9149.998811
2013-07-01,9204.764111
2013-07-04,9256.400134
2013-07-07,9305.094809
2013-07-10,9356.510638
2013-07-13,9418.279116
2013-07-16,9470.305303
2013-07-19,9525.902942
2013-07-22,9574.432105
2013-07-25,9630.003624
2013-07-28,9684.876831
2013-07-31,9741.993735
2013-08-03,9812.737556
2013-08-06,9877.370248
2013-08-09,9952.316659
2013-08-12,10015.193586
2013-08-15,10094.229425
2013-08-18,10177.295633
2013-08-21,10262.906886
2013-08-24,10344.701939
2013-08-27,10415.392713
2013-08-30,10498.786895
2013-09-02,10570.206945
2013-09-05,10642.216741
2013-09-08,10717.812519
2013-09-11,10787.409425
2013-09-14,10854.029219
2013-09-17,10923.750983
2013-09-20,11006.49188
2013-09-23,11079.07405
2013-09-26,11160.582637
2013-09-29,11228.585656
2013-10-02,11295.903012
2013-10-05,11379.084625
2013-10-08,11443.934365
2013-10-11,11514.729606
2013-10-14,11587.402639
2013-10-17,11666.593347
